x,y
-20.0,-38.0066
-19.8997,-39.076
-19.7995,-37.3036
-19.6992,-35.3524
-19.599,-38.6663
-19.4987,-38.4658
-19.3985,-34.6386
-19.2982,-36.0616
-19.198,-38.3349
-19.0977,-36.1104
-18.9975,-37.9218
-18.8972,-37.7259
-18.797,-36.1101
-18.6967,-40.22
-18.5965,-39.6428
-18.4962,-37.1171
-18.396,-37.8176
-18.2957,-34.963
-18.1955,-37.207
-18.0952,-38.0151
-17.995,-32.0587
-17.8947,-35.241
-17.7945,-34.4539
-17.6942,-37.238
-17.594,-35.2767
-17.4937,-33.7656
-17.3935,-36.089
-17.2932,-32.8351
-17.193,-34.5872
-17.0927,-33.7689
-16.9925,-34.1884
-16.8922,-29.0799
-16.792,-32.611
-16.6917,-34.4989
-16.5915,-30.5379
-16.4912,-34.4241
-16.391,-31.3642
-16.2907,-35.5008
-16.1905,-34.0373
-16.0902,-30.7867
-15.99,-29.503
-15.8897,-30.4367
-15.7895,-30.8102
-15.6892,-30.9807
-15.589,-33.135
-15.4887,-31.4171
-15.3885,-30.6982
-15.2882,-27.4622
-15.188,-28.6887
-15.0877,-32.7015
-14.9875,-28.3268
-14.8872,-29.5446
-14.787,-29.9278
-14.6867,-27.1501
-14.5865,-26.1109
-14.4862,-26.1099
-14.386,-29.4504
-14.2857,-28.1899
-14.1855,-26.7084
-14.0852,-25.2193
-13.985,-27.9283
-13.8847,-27.1407
-13.7845,-28.7816
-13.6842,-28.7608
-13.584,-24.5429
-13.4837,-23.2549
-13.3835,-25.9109
-13.2832,-23.5594
-13.183,-24.6426
-13.0827,-26.4557
-12.9825,-24.2421
-12.8822,-21.6883
-12.782,-24.6356
-12.6817,-21.2341
-12.5815,-29.4024
-12.4812,-22.3186
-12.381,-23.5878
-12.2807,-24.1594
-12.1805,-23.1774
-12.0802,-27.1355
-11.9799,-23.3992
-11.8797,-22.0452
-11.7794,-19.6031
-11.6792,-23.3949
-11.5789,-23.7749
-11.4787,-22.9609
-11.3784,-19.9261
-11.2782,-20.8989
-11.1779,-22.4154
-11.0777,-20.1289
-10.9774,-20.7607
-10.8772,-18.8171
-10.7769,-21.958
-10.6767,-21.0087
-10.5764,-20.9371
-10.4762,-22.8794
-10.3759,-19.1596
-10.2757,-19.0293
-10.1754,-19.3407
-10.0752,-19.6196
-9.9749,-21.7806
-9.8747,-19.5907
-9.7744,-19.2343
-9.6742,-19.9529
-9.5739,-18.4704
-9.4737,-17.1393
-9.3734,-13.9745
-9.2732,-17.1972
-9.1729,-16.8308
-9.0727,-17.2943
-8.9724,-20.7824
-8.8722,-16.7974
-8.7719,-16.4234
-8.6717,-11.4169
-8.5714,-16.5276
-8.4712,-15.3393
-8.3709,-15.8113
-8.2707,-17.8787
-8.1704,-13.0552
-8.0702,-13.6365
-7.9699,-13.3578
-7.8697,-16.5581
-7.7694,-11.7333
-7.6692,-17.142
-7.5689,-12.9641
-7.4687,-9.5564
-7.3684,-15.7179
-7.2682,-14.6689
-7.1679,-13.1365
-7.0677,-14.1423
-6.9674,-16.0362
-6.8672,-12.5972
-6.7669,-14.6584
-6.6667,-11.3861
-6.5664,-13.9717
-6.4662,-8.8325
-6.3659,-13.2983
-6.2657,-12.1755
-6.1654,-9.7038
-6.0652,-13.5921
-5.9649,-10.4749
-5.8647,-8.115
-5.7644,-13.7438
-5.6642,-9.9591
-5.5639,-9.6081
-5.4637,-8.3637
-5.3634,-12.2007
-5.2632,-12.1672
-5.1629,-8.2819
-5.0627,-8.5313
-4.9624,-8.4238
-4.8622,-8.0314
-4.7619,-9.8839
-4.6617,-7.8588
-4.5614,-7.5367
-4.4612,-9.351
-4.3609,-3.9903
-4.2607,-6.5736
-4.1604,-9.7034
-4.0602,-5.8072
-3.9599,-8.8692
-3.8596,-5.1451
-3.7594,-4.2016
-3.6591,-7.9597
-3.5589,-4.191
-3.4586,-5.0917
-3.3584,-4.0727
-3.2581,-1.7227
-3.1579,-5.8066
-3.0576,-6.6228
-2.9574,-6.6938
-2.8571,-6.3459
-2.7569,-4.668
-2.6566,-3.631
-2.5564,-3.5594
-2.4561,-2.2579
-2.3559,-3.6858
-2.2556,-0.6042
-2.1554,-3.8401
-2.0551,2.3301
-1.9549,-1.6584
-1.8546,-4.4236
-1.7544,-4.6506
-1.6541,-1.3433
-1.5539,-2.5547
-1.4536,-0.4793
-1.3534,-0.7603
-1.2531,-1.6519
-1.1529,-2.9994
-1.0526,-4.135
-0.9524,-1.7978
-0.8521,1.0085
-0.7519,-0.0756
-0.6516,-2.7947
-0.5514,0.2436
-0.4511,0.8684
-0.3509,-1.4695
-0.2506,0.8062
-0.1504,0.8157
-0.0501,-1.3862
0.0501,1.8158
0.1504,2.4223
0.2506,3.6674
0.3509,3.8094
0.4511,-0.8531
0.5514,0.2271
0.6516,3.3333
0.7519,3.5313
0.8521,3.7344
0.9524,10.6102
1.0526,4.247
1.1529,5.5769
1.2531,5.4143
1.3534,5.0095
1.4536,3.2767
1.5539,5.6257
1.6541,2.7626
1.7544,4.0351
1.8546,3.7385
1.9549,5.0735
2.0551,9.7396
2.1554,1.5762
2.2556,6.8838
2.3559,2.4863
2.4561,4.9684
2.5564,8.2907
2.6566,6.4418
2.7569,4.3583
2.8571,5.2837
2.9574,8.274
3.0576,5.6546
3.1579,7.7487
3.2581,7.6074
3.3584,6.4136
3.4586,12.2052
3.5589,9.3856
3.6591,4.268
3.7594,8.8917
3.8596,7.3957
3.9599,10.6247
4.0602,7.5353
4.1604,9.0913
4.2607,10.5313
4.3609,11.4533
4.4612,7.5217
4.5614,9.4538
4.6617,9.3734
4.7619,9.2172
4.8622,14.2552
4.9624,11.7348
5.0627,8.6035
5.1629,13.1615
5.2632,15.7706
5.3634,13.7917
5.4637,8.8886
5.5639,11.1594
5.6642,14.8621
5.7644,11.1135
5.8647,13.617
5.9649,14.4791
6.0652,11.2765
6.1654,13.2118
6.2657,7.0488
6.3659,11.6831
6.4662,13.4272
6.5664,11.6373
6.6667,17.5982
6.7669,11.6736
6.8672,13.8542
6.9674,15.1963
7.0677,18.0179
7.1679,12.4641
7.2682,17.8627
7.3684,15.7573
7.4687,13.9743
7.5689,17.0621
7.6692,16.7365
7.7694,15.3384
7.8697,16.879
7.9699,16.1692
8.0702,17.3674
8.1704,18.6651
8.2707,20.7134
8.3709,15.2662
8.4712,22.2084
8.5714,14.2387
8.6717,18.0398
8.7719,19.7205
8.8722,19.3063
8.9724,17.6995
9.0727,18.7291
9.1729,18.3599
9.2732,18.3676
9.3734,21.4461
9.4737,20.6614
9.5739,18.7621
9.6742,22.1476
9.7744,21.1635
9.8747,22.3751
9.9749,22.2091
10.0752,19.4924
10.1754,20.2305
10.2757,23.046
10.3759,22.9726
10.4762,21.9106
10.5764,22.3875
10.6767,24.9087
10.7769,21.3707
10.8772,23.8486
10.9774,22.5505
11.0777,22.72
11.1779,25.5534
11.2782,25.2072
11.3784,25.3839
11.4787,26.5684
11.5789,24.1999
11.6792,25.7223
11.7794,23.9384
11.8797,25.4077
11.9799,24.6996
12.0802,25.3544
12.1805,26.5512
12.2807,23.925
12.381,29.9467
12.4812,23.9504
12.5815,23.7345
12.6817,28.6796
12.782,28.1472
12.8822,28.0127
12.9825,28.2216
13.0827,27.1409
13.183,25.5714
13.2832,27.718
13.3835,26.4126
13.4837,29.9177
13.584,27.8738
13.6842,26.7174
13.7845,27.9262
13.8847,29.5953
13.985,27.8425
14.0852,27.526
14.1855,29.8583
14.2857,30.0614
14.386,28.758
14.4862,29.0304
14.5865,30.637
14.6867,27.4773
14.787,27.759
14.8872,29.3375
14.9875,30.548
15.0877,31.7973
15.188,34.3267
15.2882,33.2918
15.3885,31.4571
15.4887,31.9394
15.589,30.1729
15.6892,32.3414
15.7895,32.0016
15.8897,33.4249
15.99,31.3255
16.0902,34.2191
16.1905,36.4464
16.2907,33.3639
16.391,34.5854
16.4912,35.3627
16.5915,33.3805
16.6917,34.8316
16.792,34.6091
16.8922,34.9798
16.9925,33.4389
17.0927,35.2345
17.193,36.382
17.2932,38.4888
17.3935,37.7055
17.4937,40.2938
17.594,34.6533
17.6942,38.1331
17.7945,36.9557
17.8947,41.1691
17.995,35.3734
18.0952,35.511
18.1955,36.1922
18.2957,33.3437
18.396,36.7405
18.4962,36.4742
18.5965,38.4938
18.6967,39.077
18.797,42.3463
18.8972,40.6953
18.9975,37.8412
19.0977,37.3987
19.198,40.3798
19.2982,36.956
19.3985,43.4599
19.4987,42.3564
19.599,39.2596
19.6992,36.9722
19.7995,43.3067
19.8997,40.5704
20.0,43.4756
