x,y
-20.0,0.2606
-19.8997,-0.2927
-19.7995,0.2604
-19.6992,0.6828
-19.599,0.1897
-19.4987,0.1829
-19.3985,-0.5583
-19.2982,-0.5177
-19.198,-1.256
-19.0977,1.8977
-18.9975,-1.0943
-18.8972,-0.5418
-18.797,-0.5658
-18.6967,1.0491
-18.5965,-0.1392
-18.4962,1.405
-18.396,-0.5146
-18.2957,0.4395
-18.1955,-0.6732
-18.0952,2.3089
-17.995,-1.0222
-17.8947,0.4769
-17.7945,0.8025
-17.6942,0.5842
-17.594,-0.0131
-17.4937,0.0441
-17.3935,0.2194
-17.2932,0.0304
-17.193,1.1431
-17.0927,2.3915
-16.9925,-0.3747
-16.8922,-1.1851
-16.792,0.0982
-16.6917,2.7681
-16.5915,-0.6134
-16.4912,1.8313
-16.391,1.8719
-16.2907,-0.3575
-16.1905,0.7671
-16.0902,1.8285
-15.99,-0.177
-15.8897,0.0006
-15.7895,-0.3755
-15.6892,-0.8065
-15.589,-0.4389
-15.4887,-1.0115
-15.3885,0.2487
-15.2882,-0.5532
-15.188,0.4528
-15.0877,-1.3347
-14.9875,0.5543
-14.8872,1.0592
-14.787,-1.7658
-14.6867,0.6043
-14.5865,1.4602
-14.4862,-0.9747
-14.386,1.9098
-14.2857,0.6587
-14.1855,-0.4629
-14.0852,0.1887
-13.985,0.8053
-13.8847,0.3255
-13.7845,0.7907
-13.6842,-0.6662
-13.584,0.4264
-13.4837,-1.1541
-13.3835,0.1511
-13.2832,-0.639
-13.183,-0.4679
-13.0827,1.5064
-12.9825,1.3643
-12.8822,0.8849
-12.782,-0.8138
-12.6817,-0.0351
-12.5815,1.4973
-12.4812,0.4288
-12.381,2.6093
-12.2807,0.6862
-12.1805,0.4879
-12.0802,-0.0103
-11.9799,0.4353
-11.8797,0.1524
-11.7794,1.016
-11.6792,1.2677
-11.5789,-0.4718
-11.4787,-1.0139
-11.3784,-1.5157
-11.2782,0.8317
-11.1779,-0.7764
-11.0777,-1.8226
-10.9774,0.7222
-10.8772,2.83
-10.7769,0.3343
-10.6767,1.1823
-10.5764,0.4291
-10.4762,0.2519
-10.3759,1.2734
-10.2757,0.0676
-10.1754,0.6289
-10.0752,0.6868
-9.9749,-0.2993
-9.8747,1.3646
-9.7744,0.2013
-9.6742,-0.3757
-9.5739,0.9204
-9.4737,-0.5107
-9.3734,0.4198
-9.2732,0.3865
-9.1729,1.4855
-9.0727,0.8783
-8.9724,0.3827
-8.8722,1.2296
-8.7719,1.8062
-8.6717,0.978
-8.5714,0.4347
-8.4712,-0.8832
-8.3709,-0.6321
-8.2707,0.1321
-8.1704,-0.1678
-8.0702,0.2592
-7.9699,0.5073
-7.8697,0.9849
-7.7694,0.3893
-7.6692,0.9509
-7.5689,0.5336
-7.4687,-1.5016
-7.3684,-0.4607
-7.2682,0.3394
-7.1679,-0.7214
-7.0677,1.0932
-6.9674,2.029
-6.8672,1.722
-6.7669,0.2949
-6.6667,2.0041
-6.5664,0.6673
-6.4662,0.1867
